booking_count,total_revenue,density_score,avg_revenue_per_booking,hotspot_rank
0.0,0.0,1.0131540371966304e-06,0.0,4191.0
0.0,0.0,4.08861309910603e-07,0.0,6190.0
0.0,0.0,1.1900232082023589e-06,0.0,3740.0
0.0,0.0,1.6712316201636698e-06,0.0,2947.0
0.0,0.0,1.0021614863861106e-06,0.0,4230.0
0.0,0.0,1.5740069224158438e-06,0.0,3086.0
0.0,0.0,1.688115992942074e-06,0.0,2922.0
0.0,0.0,1.5496329833904827e-06,0.0,3131.0
0.0,0.0,4.2123478851763467e-07,0.0,6133.0
0.0,0.0,2.403299470007307e-06,0.0,2177.0
0.0,0.0,5.159490163029472e-07,0.0,5758.0
0.0,0.0,7.570997961093363e-07,0.0,4955.0
0.0,0.0,7.423430023121239e-07,0.0,5015.0
0.0,0.0,4.3176193163112373e-07,0.0,6086.0
127.0,28933.39,4.637455367800738e-07,227.821968503937,5950.0
0.0,0.0,4.316220669054979e-07,0.0,6088.0
366.0,44325.73,6.465005249267846e-07,121.10855191256832,5334.0
0.0,0.0,1.0738097125165165e-06,0.0,4039.0
0.0,0.0,4.672565780852128e-07,0.0,5939.0
0.0,0.0,1.8849280574135951e-06,0.0,2684.0
0.0,0.0,7.998782103270872e-07,0.0,4835.0
0.0,0.0,2.5026883379405896e-06,0.0,2076.0
0.0,0.0,1.4145190414129492e-06,0.0,3328.0
0.0,0.0,2.3139294471036325e-06,0.0,2259.0
0.0,0.0,1.4400369172747243e-06,0.0,3289.0
0.0,0.0,2.0420890095154587e-06,0.0,2517.0
0.0,0.0,1.2417136502342576e-06,0.0,3638.0
0.0,0.0,6.054237930676071e-07,0.0,5458.0
0.0,0.0,4.3242825254516123e-07,0.0,6084.0
0.0,0.0,3.6941437817393893e-06,0.0,1271.0
0.0,0.0,4.633939596676777e-06,0.0,888.0
0.0,0.0,4.517481971586145e-06,0.0,933.0
0.0,0.0,5.187663930734637e-06,0.0,714.0
0.0,0.0,4.012063131536539e-06,0.0,1122.0
0.0,0.0,4.31903961470189e-06,0.0,1007.0
0.0,0.0,5.235010297121257e-06,0.0,692.0
0.0,0.0,4.158389510647976e-06,0.0,1065.0
0.0,0.0,5.183436200201406e-06,0.0,716.0
0.0,0.0,3.726234949541119e-06,0.0,1254.0
0.0,0.0,5.093415348023191e-06,0.0,746.0
0.0,0.0,3.2997936553016844e-06,0.0,1476.0
0.0,0.0,3.952419714065138e-06,0.0,1143.0
275.0,52031.24,4.861201591984936e-06,189.20450909090908,819.0
0.0,0.0,4.70319532585568e-06,0.0,872.0
0.0,0.0,4.8699172869936645e-06,0.0,814.0
0.0,0.0,3.5442759806370296e-06,0.0,1350.0
0.0,0.0,5.089869504176511e-06,0.0,750.0
7020.0,1511460.74,5.157215063597929e-06,215.3077977207977,727.0
1137.0,214404.29,3.6681383560092707e-06,188.57017590149516,1289.0
0.0,0.0,4.5165684911074676e-06,0.0,934.0
0.0,0.0,3.5963793717997886e-06,0.0,1323.0
0.0,0.0,1.2481275252244493e-06,0.0,3627.0
0.0,0.0,5.2469505250685105e-06,0.0,689.0
0.0,0.0,4.958701899686019e-06,0.0,793.0
1.0,90.0,5.167423817321459e-06,90.0,723.0
0.0,0.0,3.034138843852733e-06,0.0,1647.0
0.0,0.0,4.732601698175572e-06,0.0,859.0
0.0,0.0,1.1527293100750264e-06,0.0,3829.0
0.0,0.0,4.859097925217781e-06,0.0,820.0
378.0,83668.48,4.741633387415236e-06,221.3451851851852,856.0
