admin_id,booking_count,total_revenue,density_score,avg_revenue_per_booking,hotspot_rank
grid_120,0.0,0.0,0.0,0.0,1427.0
grid_121,0.0,0.0,0.0,0.0,1427.0
grid_122,0.0,0.0,0.0,0.0,1427.0
grid_123,0.0,0.0,0.0,0.0,1427.0
grid_124,0.0,0.0,0.0,0.0,1427.0
grid_125,0.0,0.0,0.0,0.0,1427.0
grid_126,0.0,0.0,0.0,0.0,1427.0
grid_127,0.0,0.0,0.0,0.0,1427.0
grid_128,0.0,0.0,0.0,0.0,1427.0
grid_129,0.0,0.0,0.0,0.0,1427.0
grid_130,0.0,0.0,0.0,0.0,1427.0
grid_131,0.0,0.0,0.0,0.0,1427.0
grid_132,0.0,0.0,0.0,0.0,1427.0
grid_133,0.0,0.0,0.0,0.0,1427.0
grid_134,0.0,0.0,0.0,0.0,1427.0
grid_135,0.0,0.0,0.0,0.0,1427.0
grid_136,0.0,0.0,0.0,0.0,1427.0
grid_137,0.0,0.0,0.0,0.0,1427.0
grid_138,0.0,0.0,0.0,0.0,1427.0
grid_139,0.0,0.0,0.0,0.0,1427.0
grid_140,0.0,0.0,0.0,0.0,1427.0
grid_141,0.0,0.0,0.0,0.0,1427.0
grid_142,0.0,0.0,0.0,0.0,1427.0
grid_143,0.0,0.0,0.0,0.0,1427.0
grid_144,0.0,0.0,0.0,0.0,1427.0
grid_145,0.0,0.0,0.0,0.0,1427.0
grid_146,0.0,0.0,0.0,0.0,1427.0
grid_147,0.0,0.0,0.0,0.0,1427.0
grid_148,0.0,0.0,0.0,0.0,1427.0
grid_149,0.0,0.0,0.0,0.0,1427.0
grid_150,0.0,0.0,0.0,0.0,1427.0
grid_151,0.0,0.0,0.0,0.0,1427.0
grid_152,0.0,0.0,0.0,0.0,1427.0
grid_153,0.0,0.0,0.0,0.0,1427.0
grid_154,0.0,0.0,0.0,0.0,1427.0
grid_155,0.0,0.0,2.169932539559151e-289,0.0,1322.0
grid_156,0.0,0.0,5.530586604491194e-228,0.0,1123.0
grid_157,0.0,0.0,1.7250184271425468e-174,0.0,930.0
grid_158,0.0,0.0,6.530906843515097e-129,0.0,739.0
grid_159,0.0,0.0,2.9952212709868125e-91,0.0,572.0
grid_160,0.0,0.0,1.6640256076422327e-61,0.0,432.0
grid_161,0.0,0.0,1.1221432683597191e-39,0.0,326.0
grid_162,0.0,0.0,9.175992546908078e-26,0.0,248.0
grid_163,0.0,0.0,9.098592952293216e-20,0.0,192.0
