original_city,canonical_city,changed,original_bookings,canonical_bookings
Estellencs,Estellencs,False,1335,1335
Oasis del Sur,Oasis del Sur,False,1334,1334
Cadiz,Cádiz,True,1330,2756
"Cala en Porter, Illes Balears","Maó, Illes Balears",True,1326,3590
Estación de Mora - Albentosa,Estación de Mora - Albentosa,False,1324,1324
"Llanes, Asturias","Llanes, Asturias",False,1320,1320
"Úbeda, Jaén","Úbeda, Jaén",False,1317,1317
Mondoñedo,Mondoñedo,False,1307,1307
Marbella,"Marbella, Málaga",True,1299,6779
Alcañiz,Valderrobres,True,1296,3742
Tudela ,"Tudela, Navarra",True,1294,2362
Las Regueras,Oviedo,True,1280,4794
Punta Prima,"Maó, Illes Balears",True,1275,3590
"Santiago de Compostela, A Coruña",Santiago de Compostela,True,1274,9533
"Canfranc-Estación, Huesca","Canfranc-Estación, Huesca",False,1273,1273
"O Pedrouzo, A Coruña",O Pino,True,1255,4209
Zafra,ZAFRA,True,1252,2390
Getaria,San Sebastián-Donostia,True,1250,3497
Badalona,Barcelona,True,1245,27987
Puente Villarente,León,True,1241,5305
Aldeanueva del Camino,Aldeanueva del Camino,False,1233,1233
"Cabo de Palos, Murcia",Torrevieja,True,1223,5325
Moscari,Moscari,False,1215,1215
"Navaconcejo, Cáceres","Navaconcejo, Cáceres",False,1208,1208
Archidona,Málaga,True,1190,17675
Urdaniz,"Zubiri, Navarra",True,1172,2642
"Almagro, Ciudad Real",Almagro,True,1169,2563
Alaior,"Maó, Illes Balears",True,1164,3590
Meranges,Meranges,False,1154,1154
Arzúa,"O Pino, A Coruña",True,1153,5236
"Castissent, Lleida","Castissent, Lleida",False,1147,1147
"Comillas, Cantabria",Santander,True,1142,6325
Mallabia,Bergara,True,1141,2465
"Tolox, Málaga","Marbella, Málaga",True,1140,6779
"Llafranc, Girona","Vall-llobrega, Girona",True,1136,2228
Novelda,"Alacant, Alicante,",True,1132,2824
Hermandad de Campoo de Suso,Hermandad de Campoo de Suso,False,1130,1130
"Arsèguel, Lleida","Arsèguel, Lleida",False,1126,1126
Vilanova de Arousa,Caldas de Reis,True,1125,5231
Magallon,"Tudela, Navarra",True,1122,2362
"Deba, Pais Vasco",Bergara,True,1115,2465
Alhaurín de la Torre,Alhaurín el Grande,True,1115,2409
Candeleda,Candeleda,False,1115,1115
Manzanares,Almagro,True,1114,2563
"Sanxexo, Pontevedra",Pontevedra,True,1110,4895
Valle de Abdalajís,Málaga,True,1102,17675
"San Ambrosio, Barbate",Vejer de la frontera,True,1100,3092
Malpica,A Coruña,True,1096,6609
"Anglès, Girona",Tossa de Mar,True,1094,2191
Blocona,Burgos,True,1091,3283
Güejar Sierra,Granada,True,1088,8287
SAN PEDRO ALCANTARA,"Marbella, Málaga",True,1088,6779
Puerto de Mogán (Lomoquiebre),Puerto de Mogán (Lomoquiebre),False,1086,1086
"Salvatierra de Tormes, Salamanca",Salamanca,True,1079,5616
PAMPLONA,Pamplona,True,1050,2752
Lugo,"O Pino, A Coruña",True,1044,5236
"Gaucin, Malaga","Marbella, Málaga",True,1039,6779
Bilbao,Castro-Urdiales,True,1023,3920
O Pedrouzo,O Pino,True,1019,4209
"Vélez Blanco, Almeria","Vélez Blanco, Almeria",False,1016,1016
Benalmádena,Málaga,True,1015,17675
Mérida,Mérida,False,1005,1005
El Bruc,Sitges,True,1000,4574
Tresviso,Tresviso,False,995,995
"Baiona, Pontevedra","Redondela, Pontevedra",True,995,3088
"Alfondeguilla, Castellón",Valencia,True,994,10751
Garai,Bergara,True,989,2465
Algeciras,"Tarifa, Cádiz",True,987,3262
San Carlos de Peralta,La Savina,True,982,2758
"Fortià, Girona",Roses,True,977,3009
"Garganta la Olla, Cáceres","Garganta la Olla, Cáceres",False,974,974
"Santa Pau, Girona,","Santa Pau, Girona,",False,973,973
"Camprodon, Girona,","Camprodon, Girona,",False,969,969
Úbeda,Úbeda,False,969,969
Santillana Del Mar,Santander,True,959,6325
Sant Marti de Centelles (Barcelona),Barcelona,True,955,27987
"PESQUERA DE DUERO, VALLADOLID",Valladolid,True,954,5769
Arcos de la Frontera(Cádiz),"Las Cabezas de San Juan, Sevilla",True,950,2600
ALMANSA,Yecla,True,942,3487
"Estepona, Málaga,","Marbella, Málaga",True,939,6779
Malaga,Málaga,True,935,17675
Arnedillo,Nájera,True,930,3163
AVILA,AVILA,False,929,929
Benialí,Denia,True,925,2751
"Puigcerdà, Girona","Puigcerdà, Girona",False,922,922
Costitx,Costitx,False,915,915
Adeje,Adeje,False,914,914
Cala Figuera ,Cala Figuera ,False,897,897
Vélez Málaga ,"Nerja, Málaga",True,896,3965
Maó,"Maó, Illes Balears",True,894,3590
Campelles,Campelles,False,894,894
"Oropesa, Toledo","Oropesa, Toledo",False,892,892
"Espinavell, Girona,","Vall-llobrega, Girona",True,887,2228
Balmaseda,Castro-Urdiales,True,886,3920
"Sant Feliu de Guíxols, Girona,",Tossa de Mar,True,881,2191
La Laguna,La Laguna,False,881,881
Cudillero,"Candás, Asturias",True,877,2209
"Llers, Girona",Roses,True,876,3009
"Rascafría, Madrid",Segovia,True,874,7214
Ferreries,Fornells,True,872,2574
Mogro,Santander,True,870,6325
Canet de Adri,"Vall-llobrega, Girona",True,861,2228
Vega de San Mateo,Vega de San Mateo,False,859,859
"El Pedroso, Sevilla","El Pedroso, Sevilla",False,854,854
Larraga,Pamplona,True,854,2752
EMPURIABRAVA,Roses,True,854,3009
Ponferrada,"Pedrafita do Cebreiro, Lugo",True,854,3013
Cadaqués,Roses,True,852,3009
Granadilla,Granadilla,False,845,845
Antequera,Málaga,True,839,17675
Oropesa (Toledo),Oropesa (Toledo),False,837,837
TARIFA,Tarifa,True,833,8920
Marbella ,"Marbella, Málaga",True,831,6779
Xàtiva,L'Alcúdia,True,816,2158
"Conil de la Frontera, Cádiz",Vejer de la frontera,True,816,3092
Donamaria,"Zubiri, Navarra",True,813,2642
Santa Maria de Palautordera,Tossa de Mar,True,808,2191
Cabezón de Liébana,Cabezón de Liébana,False,803,803
Capileira,Granada,True,802,8287
Ea,Bergara,True,801,2465
Graus,Graus,False,798,798
Pesquera de Duero,Valladolid,True,792,5769
MOLINASECA,"Pedrafita do Cebreiro, Lugo",True,789,3013
