"id","number_of_rooms","max_occupancy","pricing_per_person_activated","max_adults","events_allowed","pets_allowed","smoking_allowed","children_allowed"
"62759",1,2,False,2,False,False,False,False
"19197",1,2,True,2,False,False,False,False
"59159",1,22,True,22,False,False,False,False
"59600",1,2,False,2,False,False,False,False
"89570",1,4,False,2,False,False,False,False
"93290",1,6,True,6,False,False,False,False
"51329",1,4,True,3,False,False,False,False
"65851",1,6,True,5,False,False,False,False
"60506",1,4,False,4,False,False,False,False
"56663",1,2,False,2,False,False,False,False
"70552",1,4,True,4,False,False,False,False
"59599",1,2,False,2,False,False,False,False
"62174",1,2,True,2,False,False,False,False
"71888",1,6,True,6,False,False,False,False
"64600",1,2,False,2,False,False,False,False
"60538",1,4,True,4,False,False,False,False
"72263",1,2,True,2,False,False,False,False
"55462",1,6,True,6,False,False,False,False
"62039",1,5,True,5,False,False,False,False
"60992",1,1,False,1,False,False,False,False
"66122",1,4,False,4,False,False,False,False
"59041",1,2,False,2,False,False,False,False
"59358",1,4,True,4,False,False,False,False
"18476",1,2,True,2,False,False,False,False
"55394",1,2,True,2,False,False,False,False
"59601",1,2,False,2,False,False,False,False
"91387",7,2,True,2,False,False,False,False
"58895",1,2,True,2,False,False,False,False
"63850",1,12,False,12,False,False,False,False
"60991",1,1,False,1,False,False,False,False
"71655",1,2,True,2,False,False,False,False
"55464",1,4,True,4,False,False,False,False
"91247",1,2,False,2,False,False,False,False
"55367",1,16,True,16,False,False,False,False
"71890",1,6,True,6,False,False,False,False
"60302",1,2,False,2,False,False,False,False
"61543",1,1,False,1,False,False,False,False
"47330",1,2,False,2,False,False,False,False
"59360",1,4,True,4,False,False,False,False
"76441",1,8,True,8,False,False,False,False
"42906",1,2,True,2,False,False,False,False
"73641",1,4,False,4,False,False,False,False
"12698",1,5,True,5,False,False,False,False
"27768",1,2,False,2,False,False,False,False
"59452",1,5,True,5,False,False,False,False
"60540",1,3,True,3,False,False,False,False
"62688",1,4,False,4,False,False,False,False
"60542",1,4,True,4,False,False,False,False
"25408",1,10,False,10,False,False,False,False
"64937",1,4,False,4,False,False,False,False
"60549",7,1,True,1,False,False,False,False
"58681",1,2,False,2,False,False,False,False
"87424",1,2,False,2,False,False,False,False
"49776",1,2,False,2,False,False,False,False
"87468",1,2,False,2,False,False,False,False
"87473",1,2,True,2,False,False,False,False
"87472",1,2,False,1,False,False,False,False
"91248",1,2,False,2,False,False,False,False
"58690",1,3,True,3,False,False,False,False
"45977",1,2,False,2,False,False,False,False
"60541",1,4,True,4,False,False,False,False
"54169",1,8,True,8,False,False,False,False
