"id","hotel_id","address","city","zip","country","latitude","longitude"
"22540","22711","Via Corrado Gex 26","Arvier","11011 ","IT","45.7037564","7.1676018"
"26868","27039",NULL,NULL,NULL,NULL,NULL,NULL
"25179","25350","Chaussée de Boondael","Ixelles","1050","BE","50.8191297","4.3833548"
"25805","25976",NULL,NULL,NULL,"PT",NULL,NULL
"25810","25981",NULL,NULL,NULL,NULL,NULL,NULL
"17058","17227","Antico Casino Cerreta, Via Case Sparse","Liberi","81040","IT","41.217143","14.3014509"
"14282","14451","Poio ","Pontevedra","36995","ES","42.4341563","-8.657473999999999"
"25417","25588","","","","FR","43.56920849999999","6.1854742"
"4277","4433","785 Av. du Peymian","La Ciotat","13600","FR","43.1959323","5.6235659"
"25797","25968","Calle el Silencio 10, 2º izquierda","Sevilla","41001","ES","37.3920312","-5.9968924"
"25799","25970","Via Noto 14, Piano primo interni A2 e C1","Roma","00182","IT","41.8967068","12.4822025"
"26869","27040",NULL,NULL,NULL,NULL,NULL,NULL
"25590","25761"," 270 Rue Principale","Charavines","38850","FR","45.43345190000001","5.5131536"
"25807","25978","342 Moston Lane","Manchester","M40 9JS","GB","53.5137683","-2.195419"
"25802","25973","Plaza Colegio Infantes 3, Apto 7","Toledo","45001","ES","39.85608860000001","-4.0223617"
"25474","25645","15 Calle Condes de Crespo Rascón","Salamanca","37002","ES","40.9672935","-5.6657519"
"26154","26325",NULL,NULL,NULL,"MX",NULL,NULL
"26185","26356",NULL,NULL,NULL,"IT",NULL,NULL
"25988","26159","costado sur del colegio señoritas 25 metros oeste sobre la avenida 6","San Jose","10101","CR","9.931856999999999","-84.077359"
"25796","25967","Beco do Pereiro 10, Sobreira","Ribeira de Pena","4870-183","PT","41.5199011","-7.793851"
"26870","27041",NULL,NULL,NULL,"PT",NULL,NULL
"26872","27043",NULL,NULL,NULL,NULL,NULL,NULL
"26871","27042",NULL,NULL,NULL,"FR",NULL,NULL
"26873","27044",NULL,NULL,NULL,NULL,NULL,NULL
"26877","27048",NULL,NULL,NULL,NULL,NULL,NULL
"26879","27050",NULL,NULL,NULL,NULL,NULL,NULL
