hotel_id,avg_price_premium,median_residual_pct,diagnosis,n_months,avg_revpar,avg_peer_revpar,avg_n_peers,market_segment,city
27749,0.27646581291220285,-0.3010626612258219,OVERPRICING,4,51.232257418334484,63.50353501200806,3.0,Provincial/Regional,other
10861,-0.10801537183792595,-0.443780345991082,OVERPRICING,21,12.76439155182636,26.91506397902965,12.666666666666666,Coastal/Resort,other
8190,-0.1864310568530314,0.21107992768158668,UNDERPRICING,23,15.585662735974202,16.35853323681788,23.347826086956523,Provincial/Regional,other
8722,0.4085489457373762,0.1494260455888738,FAIR,20,23.555587518960238,19.725526940971612,4.0,Provincial/Regional,other
3608,-0.05781167170425493,-0.020967365658673374,FAIR,21,23.996000662809468,17.742506384318535,7.571428571428571,Coastal/Resort,other
12262,0.6550585935207405,0.8364211587406564,UNDERPRICING,20,110.98188369878477,36.99012377440689,3.65,Coastal/Resort,other
12690,0.1463453416575701,-0.4754318615992532,OVERPRICING,10,15.513312813539322,30.622411136582812,13.8,Provincial/Regional,other
12324,0.5620823309275597,0.02217724488690873,FAIR,21,39.59677493885944,31.102964885309337,13.095238095238095,Coastal/Resort,other
11163,-0.20682643010989551,-0.7361168961718333,OVERPRICING,5,14.70833355250458,77.64666768915431,3.2,Coastal/Resort,other
18030,0.07183058321107236,0.583988079567732,UNDERPRICING,14,14.235160963878393,9.070147584117947,35.285714285714285,Provincial/Regional,other
15184,0.3090039001372637,0.03338876869149852,FAIR,17,25.96733410722017,34.23530359307862,6.647058823529412,Coastal/Resort,other
15531,0.10241000800601373,0.4351478800292335,UNDERPRICING,14,22.27657832433583,12.270389400781303,39.57142857142857,Provincial/Regional,other
15310,0.16349761293891305,2.048341558243711,UNDERPRICING,16,19.19479273664335,7.135073170129674,2.0625,Provincial/Regional,other
11575,-0.21773454026379424,-0.30761433987744147,OVERPRICING,15,22.084408480909307,36.73091037533637,13.666666666666666,Coastal/Resort,other
13986,-0.3904926887216921,-0.4785974375292406,OVERPRICING,3,22.721773720192676,61.045739902972116,11.0,Coastal/Resort,other
18158,-0.551587587384577,0.7814114736277324,UNDERPRICING,6,7.790080725129913,11.2395359553583,2.3333333333333335,Coastal/Resort,other
14484,-0.11429679245911863,0.7396732508018553,UNDERPRICING,16,42.41291651949236,31.319523292285506,12.0,Provincial/Regional,other
9374,0.028026042998010342,0.01725407232554349,FAIR,20,12.74207361218664,12.886883178267016,19.6,Provincial/Regional,other
17698,-0.2603018687110687,-0.5024612238447372,OVERPRICING,5,10.161290019750595,22.853634863518753,8.4,Coastal/Resort,other
