hotel_id,median_price_premium,median_residual_pct,median_revpar,median_peer_revpar,avg_n_peers,n_periods,diagnosis
12950,-0.17157571740436445,-0.30756510283465965,1.7642857142857142,2.98035088605009,118.5,6,OVERPRICING
12951,-0.41375119551827755,6.621017632630393,4.518988258317026,1.8008293897882939,4.0,2,UNDERPRICING
12955,0.41748505121730706,0.02597335633984557,4.191643835616438,3.86790361704705,74.0,2,FAIR
12959,-0.35652374244445084,6.212678411608653,21.471273972602738,4.054709347185553,95.5,2,UNDERPRICING
12965,0.05249459845249495,5.955462120840629,40.128027397260276,5.607665402023619,14.0,2,UNDERPRICING
12980,-0.267845017188389,-0.7089610231357605,0.33536033353186423,1.4215291036353659,100.0,1,OVERPRICING
12982,1.5,-0.9930132113821137,0.013364517206815904,1.912826899128269,89.0,1,OVERPRICING
13018,-0.33217697953611786,6.287169317710171,33.25846575342466,5.8196878036012025,97.0,3,UNDERPRICING
13021,-0.007194664107560207,0.6710457091081284,12.36853424657534,7.425179188165503,95.5,2,UNDERPRICING
13027,-0.2319827767746137,0.06993406147129297,1.479005707762557,3.3673196272401924,71.33333333333333,6,FAIR
13033,0.09278959755233984,6.172894670573814,32.331746575342464,4.2837499999999995,1.0,1,UNDERPRICING
13036,-0.5081763868043598,-0.9420736239328864,0.30130724070450093,6.428997010519943,82.66666666666667,3,OVERPRICING
13042,0.18933991417318458,1.6749818238690948,5.117363013698631,3.210588137855163,56.6,5,UNDERPRICING
13064,0.7910117712945199,-0.9003959996233291,0.42039573820395737,2.0664631963470317,3.0,5,OVERPRICING
13066,0.4857227093738461,1.305347929723285,14.52909589041096,5.79712143334447,128.0,2,UNDERPRICING
13070,-0.11746249769237294,0.8008773117806502,5.637491628614916,3.429941398375365,159.5,2,UNDERPRICING
13096,-0.12830750986688025,0.8874354211369289,10.117234906139016,5.8196878036012025,109.4,5,UNDERPRICING
13099,0.17381307621608905,1.0536397292653175,7.151520547945205,3.2013465374660686,37.0,2,UNDERPRICING
13106,1.4296507163044763,0.8663271038205012,3.515981735159818,1.8110460302375713,90.0,1,UNDERPRICING
13107,0.2914240918274442,5.209008492184667,11.222888127853881,2.7040411543760237,93.75,4,UNDERPRICING
13108,-0.07715069842498065,1.0968486495527752,15.021424657534245,7.441313233639788,95.5,2,UNDERPRICING
13120,0.811317428028601,-0.07009700274696569,4.166744618395303,4.102657387946741,80.75,4,FAIR
13140,0.9507591885845884,1.3180129225446449,6.263013698630137,2.235038081752722,14.0,1,UNDERPRICING
13148,0.10482894706368234,-0.3258019552862882,1.0375951293759513,1.439205095280683,72.0,2,OVERPRICING
13155,-0.3472801301779065,-0.47588949323595753,1.4277123287671234,3.3602077611536267,58.5,8,OVERPRICING
13160,-0.12862656767258282,2.13248109005351,35.42608806262231,13.182530681453493,17.0,2,UNDERPRICING
13165,0.300035111081254,2.648968420386438,24.660958904109588,5.888766106774773,136.5,2,UNDERPRICING
13166,0.35770046918545884,-0.7591155226226871,1.0734141201264489,5.409894083578074,3.1666666666666665,6,OVERPRICING
13167,-0.4428919315942511,1.4139834603947103,6.798054794520548,4.136345406441071,138.25,4,UNDERPRICING
13193,-0.05539793047662348,12.353791064358205,44.9173698630137,3.665792237442923,32.5,2,UNDERPRICING
13194,-0.38658065399950997,-0.49890945202909653,1.849881278538813,5.212265024135682,6.0,1,OVERPRICING
13202,-0.3205839025607366,-0.8368764451527383,0.3308082191780822,1.884470348672605,88.14285714285714,7,OVERPRICING
13209,0.024042875793627027,2.995466021391433,21.72685616438356,3.1827728234079373,84.75,4,UNDERPRICING
13211,-0.4137722989855859,0.5116471578544418,4.8459452054794525,4.886965635183278,11.0,2,UNDERPRICING
13215,-0.32603138952882926,1.6309847304834384,10.207134287388914,4.661001994738627,77.0,4,UNDERPRICING
13219,-0.3393278065523013,3.2297097516998745,11.43769520547945,3.6058503093772236,52.5,2,UNDERPRICING
13221,0.4359868867521296,-0.8692997587015154,0.6984283456269758,1.1238785563751317,2.75,4,OVERPRICING
13225,-0.20684281625883583,0.42736349461337775,6.647808219178082,5.537225387936211,120.5,2,UNDERPRICING
13227,-0.3034433878949328,-0.7620645283440438,0.7163468575069404,4.371800391389432,60.56,25,OVERPRICING
13236,-0.23170358456271845,3.6494447456206895,23.15068493150685,5.9127625200075355,136.5,2,UNDERPRICING
13238,0.3747746539533313,0.6213029127114821,5.54054794520548,1.9916401692734835,134.5,4,UNDERPRICING
13239,0.4214128211702683,4.61278679359272,20.918767123287672,3.1536179273377005,22.666666666666668,3,UNDERPRICING
13242,0.0552319533964452,0.6838059883024432,4.250149828767123,2.0927343347862184,74.0,4,UNDERPRICING
13253,0.4999544690988005,2.2988746991294398,12.152805479452056,4.430236928782624,61.5,6,UNDERPRICING
13265,-0.2981284051610524,1.604542997547861,7.106952054794521,3.271596695555028,123.0,4,UNDERPRICING
13270,-0.4134614127028362,-0.9084947660708546,0.1452054794520548,2.3215135289234,14.0,1,OVERPRICING
13277,-0.22150121070336254,-0.6929921024551593,0.7193493150684932,4.701851157174267,77.0,4,OVERPRICING
