hotel_id,admin1,room_category,diagnosis,current_price,peer_price,current_occ,current_revpar,optimal_price,optimal_price_change_pct,expected_occ,expected_revpar,revpar_gain_pct,recommendation
10821,National,standard,FAIR,150.0,186.14856211237324,0.25,37.5,223.50000000000009,49.00000000000007,0.20099999999999993,44.923500000000004,19.79600000000001,RAISE
10840,National,standard,QUALITY_ISSUES,75.61606871058926,312.2161676516029,0.32077628,24.25584151208673,52.93124809741248,-30.0,0.35926943778991705,19.016579745475997,-21.59999999999999,LOWER
10847,National,standard,FAIR,264.733031372549,305.3365061449505,0.29264706,77.47334430408688,397.0995470588237,50.000000000000064,0.23411765098571768,92.96801316490426,20.00000000000001,RAISE
10850,National,standard,QUALITY_ISSUES,79.09800076423981,352.5912313862311,0.37400073,29.582709879479925,55.36860053496787,-30.0,0.4188808155059815,23.192844545512266,-21.599999999999987,LOWER
10851,National,standard,QUALITY_ISSUES,73.5745288254114,361.59913891912385,0.4100551,30.169610842484847,51.50217017778798,-30.0,0.45926171302795415,23.652974900508124,-21.599999999999987,LOWER
10861,National,standard,EXCEPTIONAL_VALUE,459.7041995258872,340.5035832353782,0.11224611,51.60000862339804,321.792939668121,-30.0,0.12571564435958862,40.45440676074406,-21.600000000000012,LOWER
10893,National,standard,UNDERPRICING,162.9375,251.5609670076836,1.0,162.9375,244.4062500000001,50.000000000000064,0.7999999999999997,195.52500000000003,20.00000000000002,RAISE
10895,National,standard,QUALITY_ISSUES,22.687432954610895,330.88850665823077,0.48011705,10.892623445617975,15.881203068227626,-30.0,0.5377310991287232,8.539816781364491,-21.60000000000001,LOWER
10906,National,standard,EXCEPTIONAL_VALUE,283.71153846153845,254.95400775395834,0.47435898,134.5811148320253,380.17346153846165,34.00000000000006,0.40984615516662587,155.81263150792563,15.776000000000021,RAISE
10907,National,standard,UNDERPRICING,207.43568376068376,284.1948783453771,0.56837606,117.90147753138827,311.1535256410258,50.000000000000064,0.45470085144042954,141.48177303766596,20.000000000000036,RAISE
10911,National,standard,FAIR,187.45238095238093,347.0778243325216,0.27469388,51.492021183882436,281.1785714285715,50.000000000000064,0.2197551012039184,61.79042542065893,20.00000000000001,RAISE
10912,National,standard,QUALITY_ISSUES,82.9719953043555,305.0392353907959,0.34628943,28.732324635349137,58.08039671304885,-30.0,0.3878441572189331,22.526142514113722,-21.6,LOWER
