hotel_id,median_price_premium,median_occ_residual,median_expected_residual,median_diagnosis_residual,avg_price,avg_occupancy,n_days,diagnosis
10535,0.016679727962462518,0.09833888638803379,7.818704493462701e-05,0.09873135847532194,395.63972727272727,0.27321982,55,FAIR
10541,-0.07578966752867616,0.13244535061351523,-0.00035526779297485574,0.131940186845886,194.27250941619587,0.3400054,354,UNDERPRICING
10545,-0.5785264419012519,0.23309335028156392,-0.002711871141459854,0.23518445534348986,92.81993411680911,0.47792023,468,UNDERPRICING
10557,-0.8548672417036128,0.8826254412912194,-0.004007232227686354,0.886856271024879,160.660625,1.0,64,UNDERPRICING
10570,0.2091495389415073,0.07496469076641145,0.0009803987472744072,0.0729748564265286,307.57082561728396,0.22675265,216,FAIR
10575,-0.4099314827212337,0.025088412064165955,-0.0019215739808091852,0.02419913121976889,114.54253551912569,0.06656661,61,FAIR
10587,0.08877785592580323,0.4397748875310696,0.00041615056469097487,0.43830991532272273,436.0657228915663,0.5301205,83,EXCEPTIONAL_VALUE
10591,0.5051306381226357,0.055045953152891056,0.0023678247025151443,0.05320528386804553,350.31354519646226,0.18758096,348,FAIR
10593,1.8891936028933145,0.3565237352894943,0.008855687901628235,0.3476680473878661,282.6666666666667,0.42857143,1,EXCEPTIONAL_VALUE
10601,-0.16082040665587038,0.12489135309651815,-0.000753853563433726,0.12513575337579316,107.52773516483516,0.30871797,260,UNDERPRICING
10603,-0.5621220932311954,0.10737160623500103,-0.002634974950498258,0.11025185802649175,70.29272989508748,0.22577386,169,UNDERPRICING
10604,-0.4803509322209582,0.04546508885101101,-0.0022516686127298964,0.044677046442685775,105.81751721319903,0.14662455,407,FAIR
10611,-0.5672271275052445,0.11814752117238508,-0.002658905049662714,0.12011881244539775,82.07175869163311,0.51008564,633,UNDERPRICING
10613,-0.6682378801899335,0.062358032022160434,-0.003132397919379295,0.06498729415676072,69.95745812045098,0.41294944,595,FAIR
10619,-0.7438521646394685,0.035773820401690706,-0.003486843595547423,0.03940735939805409,49.030034893267654,0.16089141,116,FAIR
10620,-0.5730755205319854,0.21615576367936665,-0.002686319679529953,0.21908128939277133,129.26675531914896,0.36205673,47,UNDERPRICING
10627,0.18513932641832184,0.2710608208508999,0.0008678496955353709,0.26999191373269016,1215.4273364485982,0.42679128,107,EXCEPTIONAL_VALUE
10641,1.4772197535918812,0.040472320077112864,0.006924540227055073,0.03465964114549223,458.7808476190477,0.2241392,75,FAIR
10642,-0.535232474926807,0.19897512070744416,-0.0025089285425849124,0.20164220575640812,174.5928215767635,0.5667358,482,UNDERPRICING
10648,-0.21367827037646436,0.11179348620821641,-0.0010016273985449025,0.11224066204595759,492.88958333333335,0.30889136,32,UNDERPRICING
10649,-0.43248911411163315,0.11400394481779996,-0.002027313987067628,0.11514312263066312,117.11270151670075,0.30419832,326,UNDERPRICING
10655,0.5438088290559191,0.06455723115309751,0.002549130624248189,0.061856691761760584,365.5630914130205,0.17419375,218,FAIR
10656,0.2174560289498708,0.08985300408140087,0.0010193358276029683,0.08870601038543319,268.6451142339545,0.31760353,230,FAIR
10660,1.1526682051782902,0.04663681534862159,0.005403188886282375,0.04247131534498508,403.13325925925926,0.20502646,45,FAIR
10662,0.05885194466639631,0.4598837217720269,0.0002758713842622151,0.4609818703177299,1159.6146511627908,0.54651165,43,EXCEPTIONAL_VALUE
10669,-0.014915391178199424,0.1704608083644462,-6.991662950930087e-05,0.16935392140730043,259.2330620155039,0.3984496,215,UNDERPRICING
10675,0.9521352588237786,0.27619151951454207,0.004463180840421023,0.27262975660196975,816.502,0.4,50,EXCEPTIONAL_VALUE
10714,0.8461221925369192,0.81843185635497,0.003966239379739998,0.8141219995558554,481.97333333333336,1.0,3,EXCEPTIONAL_VALUE
10721,-0.3842481706582218,0.18360978584595525,-0.0018011821927140816,0.18610790699201674,122.0132150997151,0.3771605,351,UNDERPRICING
10730,-0.7650503462310176,0.014200544423738207,-0.0035862111140321875,0.01816028573273662,36.71320325683841,0.13637197,119,FAIR
10743,-0.32493060057076784,0.10065806540583519,-0.00152312816639674,0.10031271620237253,139.24506607142857,0.30930555,200,UNDERPRICING
