hotel_id,segment,actual_price,actual_occupancy,actual_revpar,peer_median_price,peer_p25,peer_p75,peer_occ_median,price_ratio,pricing_status,price_gap_pct,optimal_price,optimal_occupancy,optimal_revpar,revpar_lift,revpar_lift_pct,price_change,price_change_pct,recommendation
5661,major_metro,91.85,0.1904762,17.4952384211123,105.63170454545454,75.0330303030303,115.96303571428572,0.3452381,0.8695306053730857,fair,-13.046939462691434,101.035,0.18453334256,18.6443262655496,1.1490872955496023,6.568000000000014,9.185000000000002,10.000000000000004,RAISE
5671,resort_coastal,130.5,0.12244898,15.979591995477676,125.76530612244898,109.3275,145.70052083333334,0.13137755,1.0376470588235294,fair,3.764705882352944,143.55,0.11695714324699999,16.78919791310685,0.8096060231068503,5.066500000000001,13.050000000000011,10.000000000000009,RAISE
5708,rural,65.0,0.22857143,14.857142940163612,68.49571428571429,54.25,87.23253246753245,0.33571428,0.9489644816151168,fair,-5.103551838488331,71.5,0.21965714423,15.705485812445,0.8483428624449996,5.709999999999997,6.5,10.0,RAISE
5789,resort_coastal,127.86285714285714,0.5,63.93142857142857,80.87454545454545,67.96000000000001,113.15625,0.46428573,1.581002482600918,overpriced,58.10024826009178,127.86285714285714,0.5,63.93142857142857,0.0,0.0,0.0,0.0,HOLD
5799,urban_core,93.852,0.35714287,33.51857222771645,97.5,70.87905882352942,128.325,0.21904762,0.9625846153846154,fair,-3.7415384615384575,103.23720000000002,0.34321429807,35.43248313271221,1.9139104974722088,5.710000000000014,9.385200000000012,10.000000000000012,RAISE
5809,resort_coastal,49.86000000000001,0.032967035,1.643736351504922,71.62333333333333,48.584937770562775,143.4325,0.08571429,0.696141853213571,fair,-30.38581467864289,54.84600000000001,0.05,2.7423000000000006,1.0985636349000005,66.83332304527843,4.986000000000004,10.000000000000007,RAISE
5825,resort_coastal,45.9,0.114285715,5.245714315026999,72.05,63.81499999999999,100.88125,0.25714287,0.63705759888966,underpriced,-36.29424011103401,74.3385775862069,0.08252797549889654,6.135012309657302,0.8892979911573029,16.95284830935276,28.438577586206897,61.957685372999784,RAISE
5833,resort_coastal,160.0,1.0,160.0,160.495,100.45857142857145,226.47188775510205,0.92857146,0.996915791769214,fair,-0.3084208230786034,176.0,0.95,167.2,7.199999999999989,4.499999999999993,16.0,10.0,RAISE
5834,small_town,105.3076923076923,0.26530612,27.93877474161295,80.9625,72.7375,102.014,0.14285713,1.3006971413641166,overpriced,30.069714136411672,105.3076923076923,0.26530612,27.93877525230769,0.0,0.0,0.0,0.0,HOLD
5848,rural,68.57142857142857,0.125,8.571428571428571,72.96875,65.855,92.69142857142856,0.15773809,0.9397369226063016,fair,-6.026307739369841,75.42857142857143,0.120125,9.060857142857143,0.4894285714285722,5.71000000000001,6.857142857142861,10.000000000000005,RAISE
5852,major_metro,53.02,0.10204082,5.410204267054795,115.85575,83.38132560296845,172.26666666666668,0.14285715,0.4576380542182843,underpriced,-54.23619457817157,172.26666666666668,0.05,8.613333333333335,3.203129056933334,59.20532559012218,119.24666666666667,224.908839431661,RAISE
5911,urban_core,75.86500000000001,0.14285715,10.837857627347113,103.91666666666669,52.994166666666665,150.06224999999998,0.21428572,0.7300561347233361,fair,-26.994386527666393,83.45150000000001,0.13728572114999998,11.456699358549224,0.6188416737992242,5.709999999999992,7.586500000000001,10.0,RAISE
5912,provincial_city,167.71666666666667,0.14285715,23.95952488059799,121.22666666666666,105.10875,128.72375,0.42857143,1.3834964804223495,overpriced,38.34964804223494,167.71666666666667,0.14285715,23.959525007499998,0.0,0.0,0.0,0.0,HOLD
