hotel_id,segment,actual_price,actual_occupancy,actual_revpar,peer_revpar_median,peer_revpar_p25,peer_revpar_p75,peer_price_median,best_peer_price,best_peer_revpar,performance,revpar_gap_pct
9419,coastal_town,255.0,0.5714286,145.7142922282219,147.02632925463575,95.21739156905168,199.46428687125444,227.80785714285713,274.8,235.5428594827652,on_par,-0.8923823597211197
9436,major_metro,95.60000000000001,0.17142858,16.38857187628746,21.579143077688556,19.2859552527736,23.282215164617767,101.65183673469386,112.23532467532468,70.54792085210998,underperforming,-24.053648389624012
9445,coastal_town,89.26875,0.12698413,11.335714940261095,17.46301054805517,7.058730566315353,65.91071535460651,124.83819767441861,179.29880952380952,107.57928998910245,on_par,-35.08728114738763
9450,major_metro,168.96333333333334,0.42857143,72.41285786221425,35.32928606525064,27.50142980083823,61.35790759909423,99.11444444444444,177.375,152.0357157960534,outperforming,104.96552839611005
9455,urban_core,67.75666666666667,0.14285715,9.679524242232244,30.708037087041888,16.53273830190301,48.78535901777446,130.578125,147.97375000000002,56.3709534309432,underperforming,-68.47885713178069
9462,resort_coastal,89.7725,0.08163265,7.328367196787148,9.350357189178466,7.2507145479228345,11.448611144211753,66.94874999999999,216.0,37.0285724401474,on_par,-21.62473530670513
9489,urban_core,89.44646825396825,0.035714287,3.1945168661620347,12.448552034853826,9.695549784261733,14.965061287163206,127.14785714285715,89.16970512235902,60.86186391365095,underperforming,-74.33824546647729
9490,resort_coastal,155.0,0.10204082,15.816327072679996,10.509796113297345,8.503714484572411,18.26733306452632,89.44,113.73611111111111,36.55803523005711,on_par,50.49128358131184
9491,major_metro,73.145,0.025974026,1.8998701281007377,6.806189225787297,4.217105272407462,9.217219209527741,91.48894324853228,101.54931506849314,50.42925085658079,underperforming,-72.08614005466512
9499,coastal_town,60.0,0.14285715,8.571428954601288,47.202381170050884,24.88257161926797,51.36173507306658,100.55176691729324,185.60714285714286,61.869049462888924,underperforming,-81.84110898193477
9506,rural,200.0,0.42857143,85.71428656578064,26.821429155766964,15.428572118282318,51.5571434251964,95.491875,161.0,115.00000274181366,outperforming,219.57389767707784
