original_city,canonical_city,changed
Blocona,Blocona,False
San Pedro del Pinatar,San pedro de alcantara,True
"Talavera de la Reina, Toledo,",Talavera de la Reina,True
"Jerez de la Frontera, Cádiz",Cádiz,True
Portomarín,Portomarín,False
Valle de Abdalajís,Valle de Abdalajís,False
Can Picafort,Can Picafort,False
"Xàbia, Alicante,","Alacant, Alicante,",True
Ea,Ea,False
Pedraza,Pedraza,False
Carnota,Carnota,False
Arnuero,Arnuero,False
Fornells,Fornells,False
Zafra,ZAFRA,True
"Sos del Rey Católico, Zaragoza",Zaragoza,True
Balmaseda,Balmaseda,False
Estellencs,Estellencs,False
"Torremolinos, Málaga",Málaga,True
"Dénia, Alicante",Alicante,True
"Sanxexo, Pontevedra",Pontevedra,True
Ansovell,Ansovell,False
EMPURIABRAVA,EMPURIABRAVA,False
Punta del Hidalgo,Punta del Hidalgo,False
Prado del Rey ,Prado del Rey ,False
Oronz,Oronz,False
Benissa,Benissa,False
"Torrox Pueblo, Málaga",Málaga,True
Freila,Freila,False
"Santa Pau, Girona,","Santa Pau, Girona,",False
Torrellas,Torrellas,False
"Vall-llobrega, Girona",Girona,True
Magallon,Magallon,False
Elgoibar,Elgoibar,False
"Alfondeguilla, Castellón","Alfondeguilla, Castellón",False
"Soo, Las Palmas",Las Palmas de Gran Canaria,True
Felechosa,Felechosa,False
Larraga,Tarragona,True
Rota,Rota,False
Formentera,Formentera,False
Playa del Ingles,Playa del Ingles,False
Santa Maria de Nava,Santa Maria de Nava,False
Alcañiz,Alcañiz,False
"El Mallol, Girona",Girona,True
Estación de Mora - Albentosa,Estación de Mora - Albentosa,False
Cádiz,Cádiz,False
Caldes D Estrac,Caldes D Estrac,False
Ourense,Ourense,False
"Garganta la Olla, Cáceres","Garganta la Olla, Cáceres",False
Valle Guerra,Valle Guerra,False
"Mogarraz, Salamanca",Salamanca,True
"Puntallana, Santa Cruz de Tenerife",Santa cruz de Tenerife,True
"Congostro, Province of Ourense","Congostro, Province of Ourense",False
SANTO DOMINGO DE LA CALZADA,Santo Domingo de la Calzada,True
"San Isidro, Santa Cruz de Tenerife,",Santa cruz de Tenerife,True
"Gaucin, Malaga",MALAGA,True
Ojén,Ojén,False
Castillo Caleta de Fuste,Castillo Caleta de Fuste,False
Àger,Àger,False
Arcos de la Frontera(Cádiz),"Jerez de la Frontera, Cádiz",True
"El Roque, Las Palmas","El Roque, Las Palmas",False
Nájera,Nájera,False
San Agustín (Mas Palomas),San Agustín (Mas Palomas),False
O Barqueiro,O Barqueiro,False
Águilas,Águilas,False
Villavieja del Lozoya,Villavieja del Lozoya,False
"Llanes, Asturias","Candás, Asturias",True
Socuéllamos,Socuéllamos,False
"Úbeda, Jaén",Jaén,True
Estepona,Estepona,False
"Ribes de Freser,","Ribes de Freser,",False
Getxo,Getxo,False
"El Puerto de Sta María, Cádiz",Cádiz,True
"Comillas, Cantabria","Comillas, Cantabria",False
Jorba,Jorba,False
cordoba,Córdoba,True
Padrón,Padrón,False
Girona,Girona,False
ADEJE,ADEJE,False
Palamós,Palamós,False
Blanes,Blanes,False
Marbella ,"Marbella, Málaga",True
Torrevieja,Torrevieja,False
Santiago de Compostela - La Coruña,Santiago de Compostela,True
AVILA,AVILA,False
El Chorro,El Chorro,False
Los Alcázares,Los Alcázares,False
Campelles,Campelles,False
"Jédula, Cádiz",Cádiz,True
BENIDORM,BENIDORM,False
Saldes,Saldes,False
"Las Herrerías, León,","Las Herrerías, León,",False
Vera,Cervera,True
Lucena,Lucena,False
Muros ,Muros ,False
GIJÓN,GIJÓN,False
Donamaria,Donamaria,False
La Aldea de San Nicolás,La Aldea de San Nicolás,False
Muxía,Muxia,True
"Los Caños de Meca, Cádiz",Cádiz,True
Viveiro,Viveiro,False
"Cóbreces, Cantabria,","Cóbreces, Cantabria,",False
Alaior,Alaior,False
Sant Celoni,Sant Celoni,False
MARBELLA,"Marbella, Málaga",True
Vélez Málaga ,Málaga,True
Santa Pola,Santa Pola,False
Badajoz ,Badajoz ,False
San Carlos de Peralta,San Carlos de Peralta,False
"Deba, Pais Vasco","Deba, Pais Vasco",False
Bollullos de la Mitación,Bollullos de la Mitación,False
Castril,Castril,False
Rubí,Rubí,False
"Freixenet de Segarra, Lleida","Freixenet de Segarra, Lleida",False
Vigo,Vigo,False
Astudillo,Astudillo,False
Ulldemolins,Ulldemolins,False
Cehegín,Cehegín,False
Eivissa,Benissa,True
Callosa de Ensarria,Sarria,True
"Terrades, Girona",Girona,True
"Santa Margarida de Montbui, Barcelona",Barcelona,True
"Cabó, Lleida,","Cabó, Lleida,",False
"Conil de la Frontera, Cádiz",Cádiz,True
"Argoños, Cantabria,","Argoños, Cantabria,",False
"Cañadas del Romero, Mazarrón","Cañadas del Romero, Mazarrón",False
Ferreries,Ferreries,False
"Planoles, Girona",Girona,True
"Oropesa, Toledo",Toledo,True
San Juan de la Arena,San Juan de la Arena,False
Lèrida,Lèrida,False
"Vejer de la Frontera, Cádiz",Cádiz,True
Teruel,Teruel,False
Valdepeñas,Valdepeñas,False
El Escobal,El Escobal,False
"La Cistérniga, Valladolid",Valladolid,True
Iznatoraf,Iznatoraf,False
"Ventolà, Girona",Girona,True
"A Granxa, Ourense","A Granxa, Ourense",False
Carboneras,Carboneras,False
"Tavascan, Lleida","Tavascan, Lleida",False
Coín,Coín,False
Villaciervos,Villaciervos,False
Arroyo de la Encomienda,Arroyo de la Encomienda,False
San Sebastian ,San Sebastian ,False
Ibi,Ibi,False
Matadepera,Matadepera,False
"Puigcerdà, Girona",Girona,True
"San José de los Llanos, Santa Cruz de Tenerife",Santa cruz de Tenerife,True
San Vicente de la Sonsierra,San Vicente de la Sonsierra,False
"Cambrils, Tarragona",Tarragona,True
"Es Camp de Mar, Balearic Islands","Es Camp de Mar, Balearic Islands",False
"Zubiri, Navarra","Zubiri, Navarra",False
Banyalbufar,Banyalbufar,False
"El Pedroso, Sevilla",Sevilla,True
Sant Marti de Centelles (Barcelona),Sant Marti de Centelles (Barcelona),False
Ferrol,Ferrol,False
Torres del Río,Torres del Río,False
Ayamonte,Ayamonte,False
Llucmajor,Llucmajor,False
MURCIA,MURCIA,False
Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,False
"O Courel ,  Quiroga ,  Lugo","O Courel ,  Quiroga ,  Lugo",False
Arenas de San Pedro,Arenas de San Pedro,False
Ceuta,Ceuta,False
Olot,Olot,False
"Getxo, Bizkaia","Getxo, Bizkaia",False
Sos del Rey Católico,Sos del Rey Católico,False
" Masopalmas, Las Palmas"," Masopalmas, Las Palmas",False
TIAS,TIAS,False
"PESQUERA DE DUERO, VALLADOLID",Valladolid,True
Urrea de Gaen,Urrea de Gaen,False
Puerto de Mazarrón,Puerto de Mazarrón,False
Baiona,Baiona,False
Villarreal de San Carlos,Villarreal de San Carlos,False
Frontera,Frontera,False
Bellver de la Cerdanya,Bellver de la Cerdanya,False
SANTILLANA DEL MAR,SANTILLANA DEL MAR,False
