hotel_id,target_date,segment,performance,recommendation,current_price,recommended_price,current_revpar,expected_revpar,peer_median_price,best_peer_price,best_peer_revpar,elasticity_used,reasoning,confidence,n_peers
18392,2024-06-15,rural,underperforming,LOWER,131.77083333333334,111.9,47.06,43.33,114.96,111.9,4092.47,-0.558,Hotel is overpriced vs best peer. Lower to €112.,low,8
11885,2024-06-15,rural,underperforming,LOWER,166.45833333333331,70.76,44.59,25.46,80.5,70.76,1506.08,-0.597,Hotel is overpriced vs best peer. Lower to €71.,medium,5
20931,2024-06-15,urban_fringe,underperforming,RAISE,115.44022959183674,341.84,25.92,17.09,121.55,341.84,9864.63,-0.496,Hotel is underpriced vs best peer. Raise to €342.,medium,9
22878,2024-06-15,urban_fringe,underperforming,RAISE,199.78941094259278,465.66,5.03,23.28,108.0,465.66,1549.97,-0.496,Hotel is underpriced vs best peer. Raise to €466.,medium,9
17845,2024-06-15,rural,underperforming,INVESTIGATE,95.90171666666667,95.9,32.88,32.88,97.95,111.57,9036.99,-0.568,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,medium,6
26229,2024-06-15,provincial_city,underperforming,RAISE,575.9644444444444,701.72,82.28,76.1,436.58,701.72,16841.18,-1.103,Hotel is underpriced vs best peer. Raise to €702.,low,9
13512,2024-06-15,resort_coastal,underperforming,RAISE,196.49393707482994,315.21,36.09,42.33,163.96,315.21,10311.72,-0.445,Hotel is underpriced vs best peer. Raise to €315.,medium,10
10587,2024-06-15,urban_core,underperforming,INVESTIGATE,93.2956829004329,93.3,16.96,16.96,104.75,106.17,803.88,-0.991,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,medium,8
6612,2024-06-15,rural,underperforming,RAISE,212.02999999999997,471.7,39.38,23.59,146.03,471.7,12264.28,-0.597,Hotel is underpriced vs best peer. Raise to €472.,medium,7
12351,2024-06-15,small_town,new_hotel,SET,,93.66,,28.1,93.66,118.15,3595.15,-0.749,New hotel. Start at peer median €94.,low,8
26306,2024-06-15,small_town,underperforming,RAISE,98.13595238095239,185.27,4.76,9.26,81.94,185.27,507.28,-0.749,Hotel is underpriced vs best peer. Raise to €185.,medium,10
24326,2024-06-15,coastal_town,underperforming,INVESTIGATE,75.74309807256236,75.74,30.92,30.92,124.0,88.41,10748.31,-0.773,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,medium,7
