hotel_id,latitude,longitude,city,country
15892,28.1384203,-15.4346776,Las Palmas de Gran Canaria ,ES
16975,39.0775474,1.4314326,San Miguel,ES
16994,38.9206559,-6.3462331,Mérida,ES
10619,38.5080052,-3.4954696,Almuradiel,ES
16875,36.3663064,-5.2273201,"San Luis de Sabinillas, Manilva",ES
14904,40.2398926,-4.603077799999999,Higuera de las Dueñas,ES
20803,43.0100295,-7.558387100000001,Lugo ,ES
16474,41.7528353,2.7769791,Maçanet de la selva ,ES
20200,41.6759954,2.7902289,Blanes,ES
18391,40.4124358,-3.7010606,Madrid,ES
20276,-19.1834229,-40.3088626,Garós,ES
21282,42.67713639999999,-2.034456,Estella-Lizarra,ES
10159,43.1525688,-1.5245528,Elizondo,ES
19344,39.760743,3.1652983,Can Picafort,ES
19602,39.4515987,-5.3300852,Guadalupe,ES
19643,27.7047721,-17.982235,El Hierro,ES
19829,40.8437595,-1.8901168,Molina de Aragón,ES
20024,41.0686434,1.0518656,Cambrils,ES
20556,41.07277029999999,1.1109037,Cambrils,ES
8886,42.0627263,-1.6052637,"Tudela, Navarra",ES
19504,38.6852655,-0.3577592,Penaguila,ES
3444,41.3943205,2.1450821,Barcelona,ES
20580,37.3989437,-5.9933946,Sevilla,ES
19809,42.2403621,2.7490975,Beuda,ES
20333,38.1014547,-1.8656521,Caravaca de la Cruz,ES
20936,38.7252383,0.073016,Benissa ,ES
21087,39.4715628,-0.3783753,Valencia,ES
21018,42.3178215,2.177313,Ribes de Freser,ES
24324,41.9127225,1.6797264,Cardona,ES
24373,41.3901744,2.1766223,Barcelona,ES
7542,41.5985833,-1.2839895,Épila,ES
24450,41.3901744,2.1766223,Barcelona,ES
14264,41.3883325,2.1578214,Barcelona,ES
22477,29.11848,-13.567,Teguise,ES
22508,41.4993651,1.9676982,Castellbisbal ,ES
22536,40.4122855,-3.7095033,Madrid,ES
24466,42.4657243,-2.4452341,Logroño,ES
22750,39.7714463,2.9029406,Caimari,ES
22732,38.5272043,-0.1633613,Benidorm,ES
24482,46.227638,2.213749,,ES
22867,42.7811993,-8.3784952,"San Miguel de Castro, Pontevedra",ES
22861,40.9544473,-4.1309905,Segovia ,ES
22894,36.012696,-5.6061889,Tarifa,ES
22869,41.4198031,-4.1219956,Vegafría,ES
23022,37.8964642,-6.5632842,Aracena,ES
23024,42.8011927,-1.6294073,Pamplona,ES
24828,36.8827247,-2.0151715,Níjar ,ES
4019,27.7612917,-15.5743902,Playa del Ingles,ES
23404,39.5696005,2.6501603,palma de mallorca,ES
23073,38.6128482,-1.1161996,Yecla,ES
24564,41.3901744,2.1766223,Barcelona,ES
23564,37.7641332,-2.9006636,Pozo Alcón,ES
23330,37.8862776,-4.7726863,Córdoba,ES
23575,42.2599317,2.9671673,Figueres,ES
10501,38.6436469,0.04568759999999999,"Calp, Alicante",ES
23613,40.2181624,-0.4114674,Villahermosa del rio,ES
10176,36.5197616,-5.3191342,"Gaucin, Malaga",ES
23836,40.20578,-5.07766,,ES
23957,42.5913799,-5.574368499999999,Leon,ES
23780,39.8922125,-0.0866953,Borriana,ES
23190,39.4964914,2.4928971,Son Ferrer,ES
