hotel_id,n_observations,price_std,price_premium_mean,avg_residual,residual_std,avg_price,avg_occupancy,city,elasticity,method
23728,209,0.13872218404036102,-0.6186267827038505,0.2103831591263673,0.2267618519085513,81.5882684900683,0.51223874,Caldas de Reis,0.23234811148630627,estimated
23729,47,0.3687155397672895,-0.45422732909213687,0.6262716556700708,0.24517693606420762,218.39531914893618,0.7340425,Pontevedra,-0.19914363426194176,estimated
23737,165,0.09474352740405825,-0.8018647838919698,0.08999135399890755,0.2206163354190621,41.0070899497051,0.30303383,Covas - Ames,0.1217910465860086,estimated
23742,4,0.8366890747747033,-0.058705900138961375,0.9152527351529416,0.09098760331625158,347.145,1.0,Vielha ,0.00468754916810309,market_fallback
23757,31,0.3593588450973684,-0.413102692006932,0.09420695277912847,0.1372314786329494,105.39537634408602,0.15032743,Naron,-0.10498683825732301,estimated
23758,124,0.2760471615507643,-0.5208129669366132,0.24578151664617248,0.18811653469758463,245.012123655914,0.33548388,La Frontera,-0.06909923006745484,estimated
23759,56,0.6522887320934221,0.29363775770905215,0.18877709856585226,0.18221033413802537,1437.2513154761905,0.25700822,O Grove,-0.060752103934612514,estimated
23768,95,0.32114161780329153,-0.3816594780885009,0.1839418623743857,0.20486997846356,389.36052882205513,0.25036758,SANTA EULALIA DE OSCOS,-0.11492295984314174,estimated
23780,43,0.22524518690045317,-0.5786473643551183,0.5599677287597078,0.21785340888229454,218.84488372093023,0.6395349,Borriana,-0.15516165622257125,estimated
23782,87,0.2809493785693314,-0.6284980283259233,0.3617344794922265,0.27629185679550267,131.0405459770115,0.5507663,Jaen,0.04303630729981403,estimated
23788,9,0.4118324073292229,0.012250789183468329,0.9333606965836346,0.043735450174332516,571.7777777777778,1.0,Capileira,0.00468754916810309,market_fallback
23797,9,0.4347186830241076,-0.4565962484218126,0.9068104923641273,0.03225313963154197,183.01666666666668,1.0,Granada,0.00468754916810309,market_fallback
23820,5,0.5445582161777902,0.6096783550312996,0.9398429472948229,0.07886013244584418,1794.0,1.0,Cornellà de Terri ,0.00468754916810309,market_fallback
23822,33,0.2607164853080161,-0.41497129205473815,0.8618318403327399,0.10268704290259642,740.4869696969697,1.0,Legutio,0.00037484394240948593,estimated
23824,32,0.2973705149297388,-0.46029715168668317,0.25518586447238756,0.2330760619146099,117.05950520833333,0.37239584,BALDELLOU,0.004650289031788801,estimated
23832,223,0.2582592993885414,-0.4046909971286138,0.22960140841080146,0.24709314002809807,123.08745366218236,0.5684604,Santiago de Compostela,-0.0870998816896933,estimated
23833,39,0.5079223904080306,-0.3725577278262263,0.4647727562664393,0.1673941487110664,250.79269230769233,0.55128205,El Pueyo de Jaca,-0.02463881244042391,estimated
23834,101,0.5986568234375464,-0.12175808897517579,0.21028041316556864,0.14788345552181642,497.73090759075905,0.29455444,Calpe,-0.031295191099808425,estimated
23835,78,0.4509639236577814,0.12117286953084778,0.17431997895557846,0.18810434322726793,275.0815850815851,0.26227108,Arriondas (Parres),0.009036357720574354,estimated
23836,37,0.4319230709481382,0.49892684698904494,0.29658271418105814,0.27488454068832696,948.2977477477476,0.41287002,,-0.04951596411358533,estimated
23841,54,0.4482871023253256,0.09477374213792672,0.044588039513961605,0.08297258939184898,382.1273192239859,0.17292833,Barcelona,-0.03886690870925933,estimated
23846,265,0.488073514211115,0.3109097115327442,0.029037510389484662,0.09170194816204504,532.3674625552147,0.1709681,Sevilla,-0.019293112831428413,estimated
23850,178,0.5093489840487359,0.22876361248342858,0.08872517273999703,0.11175248758867494,452.4669874264312,0.25754413,Barcelona,0.026425304459144247,estimated
23852,215,0.3123841233727528,-0.4519114942570233,0.14555515628523938,0.14543136980465596,116.81182667177784,0.29311478,Sant Andreu De Llavaneres,0.010268751477518621,estimated
23874,7,0.5017435514428644,-0.16132988493801995,0.9249691692366401,0.07244262599042828,477.74285714285713,1.0,Barbadillo del Pez,0.00468754916810309,market_fallback
23879,10,0.5756329772524915,0.8299105110175331,0.4632508901887246,0.22090606911007574,1276.347,0.6,Puebla de Almenara,0.00468754916810309,market_fallback
23889,18,0.6928045486754609,0.035681894628375864,0.5597501598012199,0.22030113966684745,152.2311111111111,0.6388889,Valencia,0.00468754916810309,market_fallback
23906,25,0.34398839040481105,-0.3067828797047812,0.9407700729315666,0.03142426014053416,894.3168000000001,1.0,Garachico,0.00468754916810309,market_fallback
23919,8,0.48598354236045405,0.8243056854404806,0.9580702958880642,0.012484105620018475,1054.5075,1.0,Ojén,0.00468754916810309,market_fallback
23935,1,,0.7824756093915909,0.5700499929799309,,2598.4,1.0,Arrecife,0.00468754916810309,market_fallback
23957,131,0.3636704282677073,-0.4933160809558965,0.1430517818885241,0.18636660442161374,209.70363177026533,0.23457146,Leon,0.007314474621179431,estimated
23959,25,0.26541622086987415,-0.5363602709186837,0.5323460611570114,0.2170449831070683,201.99560000000002,0.62,León,0.00468754916810309,market_fallback
23963,25,0.5239565422201914,-0.22901997793944404,0.15642413988859694,0.15738008013420704,135.94948571428571,0.2334127,Llivia,0.00468754916810309,market_fallback
23965,29,0.6354384862593578,0.21887816457431047,0.40093389988587663,0.23069826721131725,555.5236206896551,0.4712644,Madrid,0.00468754916810309,market_fallback
23973,17,0.36392848145629186,-0.00509196205734835,0.8130265422839302,0.12100698235615787,1231.5729411764707,1.0,Sierra de Fuentes,0.00468754916810309,market_fallback
23976,82,0.2718259166133585,-0.5914984725367717,0.3261784583026286,0.23932773776134605,68.31515243902439,0.4229675,ALDEA DEL CANO,-0.17188233977834996,estimated
23977,159,0.06940328814156331,-0.7991220742279838,0.3784831978967105,0.26229436923162036,37.00737570256438,0.6713796,A Coruña,0.2604719019790967,estimated
23986,10,0.3075473472130211,-0.04874538975147034,0.7114072870645951,0.2847662765463717,378.29,0.8,Valencia,0.00468754916810309,market_fallback
